"ID","Title","Is Automated","Preconditions","Priority","Section","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Type","is_converted"
"C47","Email with leading spaces","No","<p>email : <a href=""mailto:user@test.com"">user@test.com</a></p><p>password : 12345</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C48","Email with trailing spaces","No","<p>email : <a href=""mailto:user@test.com"">user@test.com</a></p><p>password : 12345</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C49","Email with uppercase characters","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C50","Password with unicode characters","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C51","Extremely long password","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C52","SQL injection attempt","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C53","Multiple rapid login attempts","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C54","Empty email field","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C55","Empty password field","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
"C56","Both fields empty","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Other","1"
