"ID","Title","Expected Result","Is Automated","Preconditions","Priority","Section","Steps","Steps (Expected Result)","Suite","Suite ID","Type","is_converted"
"C47","Email with leading spaces","","No","<p>The login screen opens.</p>","Medium","Login Cases","Step Description:
<p>Navigate to login page.</p>
Expected Result:
<p>User succesfully login page.</p>","<p>User succesfully login page.</p>","Authentication Edge Cases","S6","Functional","1"
"","","","","","","","
Step Description:
<p>Enter valid email.</p>
Expected Result:
<p>Email is valid.</p>","<p>Email is valid.</p>","","","",""
"","","","","","","","
Step Description:
<p>Enter valid password.</p>
Expected Result:
<p>Password is valid.</p>","<p>Password is valid.</p>","","","",""
"","","","","","","","
Step Description:
<p>Click login button.</p>
Expected Result:
<p>User succesfully logs into the account dashboard.</p>","<p>User succesfully logs into the account dashboard.</p>","","","",""
"C48","Email with trailing spaces","<p>Login should still work or show validation.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C49","Email with uppercase characters","<p>System should treat email as case-intensive.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C50","Password with unicode characters","<p>System should handle unicode characters.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C51","Extremely long password","<p>Validation error or max length enforced.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C52","SQL injection attempt","<p>Login should fail and sanitize input.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C53","Multiple rapid login attempts","<p>Account lock or rate limit.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C54","Empty email field","<p>Account lock or rate limit.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C55","Empty password field","<p>Validation message displayed.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
"C56","Both fields empty","<p>Form validation error.</p>","No","<p>The login screen opens.</p>","Medium","Login Cases","","","Authentication Edge Cases","S6","Functional","1"
